Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt13623632,2026-01-02,2026-01-02,,"Alien: Earth","Alien: Earth",https://www.imdb.com/title/tt13623632/,TV Series,7.1,55,2025,"Horror, Sci-Fi, Thriller",94345,2025-08-12,,,
2,tt9253284,2026-01-02,2026-01-02,,"Andor","Andor",https://www.imdb.com/title/tt9253284/,TV Series,8.6,60,2022,"Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",261903,2022-09-21,,,
3,tt1312221,2026-01-02,2026-01-02,,"Frankenstein","Frankenstein",https://www.imdb.com/title/tt1312221/,Movie,7.5,149,2025,"Drama, Fantasy, Horror, Sci-Fi",214782,2025-11-07,"Guillermo del Toro",,
4,tt36463894,2026-01-02,2026-01-02,,"Predator: Killer of Killers","Predator: Killer of Killers",https://www.imdb.com/title/tt36463894/,Movie,7.4,85,2025,"Animation, Action, Adventure, Sci-Fi, Thriller",54985,2025-06-06,"Dan Trachtenberg, Joshua Wassung",,
5,tt30505698,2026-01-02,2026-01-02,,"Friendship","Friendship",https://www.imdb.com/title/tt30505698/,Movie,6.7,100,2024,"Comedy",34731,2025-05-23,"Andrew DeYoung",,
6,tt30988739,2026-01-02,2026-01-02,,"Black Bag","Black Bag",https://www.imdb.com/title/tt30988739/,Movie,6.7,93,2025,"Drama, Mystery, Romance, Thriller",83766,2025-03-14,"Steven Soderbergh",,
7,tt36491653,2026-01-02,2026-01-02,,"It Was Just an Accident","Yek tasadof-e sadeh",https://www.imdb.com/title/tt36491653/,Movie,7.6,103,2025,"Crime, Drama, Mystery, Thriller",13142,2025-10-15,"Jafar Panahi",,
8,tt27714581,2026-01-02,2026-01-02,,"Sentimental Value","Affeksjonsverdi",https://www.imdb.com/title/tt27714581/,Movie,7.9,133,2025,"Drama",22440,2025-08-20,"Joachim Trier",,
9,tt5950044,2026-01-02,2026-01-02,,"Superman","Superman",https://www.imdb.com/title/tt5950044/,Movie,7.1,129,2025,"Action, Adventure, Sci-Fi",373746,2025-07-11,"James Gunn",,
10,tt14205554,2026-01-02,2026-01-02,,"KPop Demon Hunters","KPop Demon Hunters",https://www.imdb.com/title/tt14205554/,Movie,7.5,95,2025,"Animation, Action, Adventure, Comedy, Family, Fantasy, Music, Musical",107828,2025-06-20,"Chris Appelhans, Maggie Kang",,
11,tt34956443,2026-01-02,2026-01-02,,"Ne Zha 2","Nezha: Mo tong nao hai",https://www.imdb.com/title/tt34956443/,Movie,8.0,144,2025,"Animation, Action, Adventure, Comedy, Drama, Fantasy",21473,2025-01-29,"Yu Yang",,
12,tt27674982,2026-01-02,2026-01-02,,"The Ballad of Wallis Island","The Ballad of Wallis Island",https://www.imdb.com/title/tt27674982/,Movie,7.4,99,2025,"Comedy, Drama, Music, Romance",16924,2025-04-18,"James Griffiths",,
13,tt9362736,2026-01-02,2026-01-02,,"Die My Love","Die My Love",https://www.imdb.com/title/tt9362736/,Movie,6.1,119,2025,"Drama, Thriller",26117,2025-11-07,"Lynne Ramsay",,
14,tt32843349,2026-01-02,2026-01-02,,"Sorry, Baby","Sorry, Baby",https://www.imdb.com/title/tt32843349/,Movie,7.2,103,2025,"Comedy, Drama",15730,2025-07-25,"Eva Victor",,
15,tt28083456,2026-01-02,2026-01-02,,"Is This Thing On?","Is This Thing On?",https://www.imdb.com/title/tt28083456/,Movie,7.1,124,2025,"Comedy, Drama",921,2025-12-19,"Bradley Cooper",,
16,tt29768334,2026-01-02,2026-01-02,,"Train Dreams","Train Dreams",https://www.imdb.com/title/tt29768334/,Movie,7.5,102,2025,"Drama",41491,2025-11-21,"Clint Bentley",,
17,tt32916440,2026-01-02,2026-01-02,,"Marty Supreme","Marty Supreme",https://www.imdb.com/title/tt32916440/,Movie,8.3,149,2025,"Drama, Sport",17892,2026-01-23,"Josh Safdie",,
