Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0080179,2019-06-22,2019-06-22,,"Drunken Master","Jui kuen",https://www.imdb.com/title/tt0080179/,Movie,7.4,111,1978,"Action, Comedy",47039,1978-10-05,"Yuen Woo-Ping",,
2,tt0056172,2019-06-22,2019-06-22,,"Lawrence of Arabia","Lawrence of Arabia",https://www.imdb.com/title/tt0056172/,Movie,8.3,227,1962,"Adventure, Biography, Drama, War",337386,1962-12-16,"David Lean",,
3,tt0052618,2019-06-22,2019-06-22,,"Ben-Hur","Ben-Hur",https://www.imdb.com/title/tt0052618/,Movie,8.1,212,1959,"Adventure, Drama",268666,1959-11-18,"William Wyler",,
4,tt0088286,2021-06-02,2021-06-02,,"Top Secret!","Top Secret!",https://www.imdb.com/title/tt0088286/,Movie,7.2,90,1984,"Comedy, Crime, Music",80631,1984-06-22,"Jim Abrahams, David Zucker, Jerry Zucker",,
5,tt0111503,2021-06-02,2021-06-02,,"True Lies","True Lies",https://www.imdb.com/title/tt0111503/,Movie,7.3,141,1994,"Action, Comedy, Thriller",298352,1994-07-15,"James Cameron",,
6,tt0122690,2021-06-02,2021-06-02,,"Ronin","Ronin",https://www.imdb.com/title/tt0122690/,Movie,7.2,122,1998,"Action, Crime, Thriller",205826,1998-09-25,"John Frankenheimer",,
7,tt1972571,2021-06-02,2021-06-02,,"A Most Wanted Man","A Most Wanted Man",https://www.imdb.com/title/tt1972571/,Movie,6.7,122,2014,"Crime, Drama, Thriller",83985,2014-08-01,"Anton Corbijn",,
8,tt0111512,2021-11-09,2021-11-09,,"Drunken Master II","Jui kuen II",https://www.imdb.com/title/tt0111512/,Movie,7.5,102,1994,"Action, Comedy",51204,2000-10-20,"Chia-Liang Liu, Jackie Chan",,
9,tt2406566,2021-11-09,2021-11-09,,"Atomic Blonde","Atomic Blonde",https://www.imdb.com/title/tt2406566/,Movie,6.7,115,2017,"Action, Thriller",218173,2017-07-28,"David Leitch",,
10,tt12477480,2022-12-31,2022-12-31,,"Decision to Leave","Heojil kyolshim",https://www.imdb.com/title/tt12477480/,Movie,7.3,139,2022,"Crime, Drama, Mystery, Romance, Thriller",66195,2022-10-21,"Park Chan-wook",,
11,tt8178634,2022-12-31,2022-12-31,,"RRR","RRR (Rise Roar Revolt)",https://www.imdb.com/title/tt8178634/,Movie,7.8,187,2022,"Action, Adventure, Drama",200359,2022-03-25,"S.S. Rajamouli",,
12,tt8633464,2022-12-31,2022-12-31,,"After Yang","After Yang",https://www.imdb.com/title/tt8633464/,Movie,6.6,96,2021,"Drama, Sci-Fi",25878,2022-03-04,"Kogonada",,
13,tt12593682,2022-12-31,2022-12-31,,"Bullet Train","Bullet Train",https://www.imdb.com/title/tt12593682/,Movie,7.3,127,2022,"Action, Comedy, Thriller",519187,2022-08-05,"David Leitch",,
14,tt4998632,2022-12-31,2022-12-31,,"Ambulance","Ambulance",https://www.imdb.com/title/tt4998632/,Movie,6.1,136,2022,"Action, Crime, Drama, Thriller",111287,2022-04-08,"Michael Bay",,
15,tt0156729,2025-02-03,2025-02-03,,"Last Night","Last Night",https://www.imdb.com/title/tt0156729/,Movie,7.1,95,1998,"Comedy, Drama, Romance",10488,1998-10-23,"Don McKellar",,
