Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt6198946,2019-03-01,2019-03-01,,"The Hole in the Ground","The Hole in the Ground",https://www.imdb.com/title/tt6198946/,Movie,5.6,90,2019,"Drama, Horror, Mystery",23969,2019-02-26,"Lee Cronin",,
2,tt7334342,2019-06-08,2019-06-08,,"Dirty God","Dirty God",https://www.imdb.com/title/tt7334342/,Movie,6.5,104,2019,"Drama",1960,2019-04-25,"Sacha Polak",,
3,tt8291806,2019-08-23,2019-08-23,,"Pain and Glory","Dolor y gloria",https://www.imdb.com/title/tt8291806/,Movie,7.5,113,2019,"Drama",66552,2019-10-04,"Pedro Almodóvar",,
4,tt5117428,2019-12-29,2019-12-29,,"Wild Rose","Wild Rose",https://www.imdb.com/title/tt5117428/,Movie,7.1,101,2018,"Drama, Music",16386,2019-06-21,"Tom Harper",,
5,tt9606374,2020-10-02,2020-10-02,,"On the Rocks","On the Rocks",https://www.imdb.com/title/tt9606374/,Movie,6.4,96,2020,"Comedy, Drama, Romance",39296,2020-10-23,"Sofia Coppola",,
6,tt5577494,2020-12-27,2020-12-27,,"Clemency","Clemency",https://www.imdb.com/title/tt5577494/,Movie,6.5,112,2019,"Drama",5779,2020-01-24,"Chinonye Chukwu",,
7,tt8737608,2021-02-13,2021-02-13,,"Rams","Rams",https://www.imdb.com/title/tt8737608/,Movie,6.5,118,2020,"Comedy, Drama",4141,2020-10-29,"Jeremy Sims",,
8,tt6882604,2021-02-13,2021-02-13,,"Archive","Archive",https://www.imdb.com/title/tt6882604/,Movie,6.4,109,2020,"Drama, Mystery, Sci-Fi, Thriller",28908,2020-07-10,"Gavin Rothery",,
9,tt9110170,2021-02-28,2021-02-28,,"Wrong Turn","Wrong Turn",https://www.imdb.com/title/tt9110170/,Movie,5.6,109,2021,"Drama, Horror, Mystery, Thriller",41364,2021-02-26,"Mike P. Nelson",,
10,tt2132485,2021-03-04,2021-03-04,,"The Girl","The Girl",https://www.imdb.com/title/tt2132485/,TV Movie,6.3,91,2012,"Biography, Drama",7384,2012-10-20,"Julian Jarrold",,
11,tt10196620,2021-11-27,2021-11-27,,"Shepherd","Shepherd",https://www.imdb.com/title/tt10196620/,Movie,4.9,103,2021,"Drama, Horror, Mystery",1413,2022-05-10,"Russell Owen",,
12,tt15339570,2023-03-11,2023-03-11,,"Champions","Champions",https://www.imdb.com/title/tt15339570/,Movie,6.8,124,2023,"Comedy, Drama, Sport",35689,2023-03-10,"Bobby Farrelly",,
13,tt10563420,2023-04-15,2023-04-15,,"The Deeper You Dig","The Deeper You Dig",https://www.imdb.com/title/tt10563420/,Movie,5.7,95,2019,"Drama, Horror",3178,2020-06-05,"John Adams, Zelda Adams, Toby Poser",,
14,tt18257464,2023-04-28,2023-04-28,,"Polite Society","Polite Society",https://www.imdb.com/title/tt18257464/,Movie,6.6,104,2023,"Action, Comedy",12563,2023-04-28,"Nida Manzoor",,
15,tt21942866,2023-11-12,2023-11-12,,"Dream Scenario","Dream Scenario",https://www.imdb.com/title/tt21942866/,Movie,6.8,102,2023,"Comedy, Drama, Fantasy, Horror",91305,2023-11-22,"Kristoffer Borgli",,
16,tt3758542,2023-12-23,2023-12-23,,"Ferrari","Ferrari",https://www.imdb.com/title/tt3758542/,Movie,6.4,130,2023,"Biography, Drama, History, Sport",65918,2023-12-25,"Michael Mann",,
17,tt7340766,2024-10-13,2024-10-13,,"Timestalker","Timestalker",https://www.imdb.com/title/tt7340766/,Movie,5.5,89,2024,"Comedy, Drama, Fantasy, Romance, Sci-Fi",3415,2024-10-11,"Alice Lowe",,
18,tt27714946,2025-02-22,2025-02-22,,"The Monkey","The Monkey",https://www.imdb.com/title/tt27714946/,Movie,5.9,98,2025,"Horror",87893,2025-02-21,"Osgood Perkins",,
19,tt0113627,2025-05-17,2025-05-17,,"Leaving Las Vegas","Leaving Las Vegas",https://www.imdb.com/title/tt0113627/,Movie,7.5,111,1995,"Drama, Romance",143540,1996-02-09,"Mike Figgis",,
20,tt30505698,2025-07-18,2025-07-18,,"Friendship","Friendship",https://www.imdb.com/title/tt30505698/,Movie,6.7,100,2024,"Comedy",34731,2025-05-23,"Andrew DeYoung",,
21,tt33455099,2025-10-25,2025-10-25,,"The Mastermind","The Mastermind",https://www.imdb.com/title/tt33455099/,Movie,6.3,110,2025,"Crime",7273,2025-10-17,"Kelly Reichardt",,
22,tt31923069,2025-10-25,2025-10-25,,"Springsteen: Deliver Me from Nowhere","Springsteen: Deliver Me from Nowhere",https://www.imdb.com/title/tt31923069/,Movie,6.8,119,2025,"Biography, Drama, Music",14595,2025-10-24,"Scott Cooper",,
23,tt33549447,2025-11-08,2025-11-08,,"Anemone","Anemone",https://www.imdb.com/title/tt33549447/,Movie,5.6,125,2025,"Drama",5832,2025-10-03,"Ronan Day-Lewis",,
24,tt32916440,2025-12-20,2025-12-20,,"Marty Supreme","Marty Supreme",https://www.imdb.com/title/tt32916440/,Movie,8.3,149,2025,"Drama, Sport",17892,2026-01-23,"Josh Safdie",,
