Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt9426210,2019-12-10,2019-12-10,,"Weathering with You","Tenki no ko",https://www.imdb.com/title/tt9426210/,Movie,7.5,112,2019,"Animation, Drama, Fantasy, Romance",67627,2020-01-17,"Makoto Shinkai",,
2,tt7781432,2021-06-11,2021-06-11,,"The Mortuary Collection","The Mortuary Collection",https://www.imdb.com/title/tt7781432/,Movie,6.4,108,2019,"Fantasy, Horror",16059,2020-10-15,"Ryan Spindell",,
3,tt14846026,2023-05-02,2023-05-02,,"Sisu","Sisu",https://www.imdb.com/title/tt14846026/,Movie,6.9,91,2022,"Action, Thriller, War",112443,2023-04-28,"Jalmari Helander",,
4,tt16300962,2023-10-11,2023-10-11,,"When Evil Lurks","Cuando acecha la maldad",https://www.imdb.com/title/tt16300962/,Movie,6.9,99,2023,"Horror",58755,2023-10-27,"Demián Rugna",,
5,tt0161081,2023-10-29,2023-10-29,,"What Lies Beneath","What Lies Beneath",https://www.imdb.com/title/tt0161081/,Movie,6.6,130,2000,"Drama, Horror, Mystery, Thriller",143811,2000-07-21,"Robert Zemeckis",,
6,tt21942866,2023-12-01,2023-12-01,,"Dream Scenario","Dream Scenario",https://www.imdb.com/title/tt21942866/,Movie,6.8,102,2023,"Comedy, Drama, Fantasy, Horror",91305,2023-11-22,"Kristoffer Borgli",,
7,tt15574270,2024-05-18,2024-05-18,,"I Saw the TV Glow","I Saw the TV Glow",https://www.imdb.com/title/tt15574270/,Movie,5.8,100,2024,"Drama, Horror, Mystery",42417,2024-05-17,"Jane Schoenbrun",,
8,tt5040012,2024-12-03,2024-12-03,,"Nosferatu","Nosferatu",https://www.imdb.com/title/tt5040012/,Movie,7.1,132,2024,"Fantasy, Horror, Mystery",253562,2024-12-25,"Robert Eggers",,
9,tt31184028,2025-07-23,2025-07-23,,"Together","Together",https://www.imdb.com/title/tt31184028/,Movie,6.7,102,2025,"Horror, Romance",57890,2025-07-30,"Michael Shanks",,
10,tt3402138,2025-07-31,2025-07-31,,"The Naked Gun","The Naked Gun",https://www.imdb.com/title/tt3402138/,Movie,6.4,85,2025,"Action, Comedy, Crime",100689,2025-08-01,"Akiva Schaffer",,
11,tt14364480,2025-12-01,2025-12-01,,"Wake Up Dead Man","Wake Up Dead Man",https://www.imdb.com/title/tt14364480/,Movie,7.4,144,2025,"Comedy, Crime, Drama, Mystery, Thriller",149208,2025-12-12,"Rian Johnson",,
