Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt27714581,2026-01-02,2026-01-02,,"Sentimental Value","Affeksjonsverdi",https://www.imdb.com/title/tt27714581/,Movie,7.9,133,2025,"Drama",22440,2025-08-20,"Joachim Trier",,
2,tt34964205,2026-01-02,2026-01-02,,"2000 Meters to Andriivka","2000 Meters to Andriivka",https://www.imdb.com/title/tt34964205/,Movie,8.5,107,2025,"Documentary, War",2011,2025-07-25,"Mstyslav Chernov",,
3,tt32298285,2026-01-02,2026-01-02,,"Sirat","Sirât",https://www.imdb.com/title/tt32298285/,Movie,7.0,115,2025,"Action, Adventure, Drama, Music, Mystery, Thriller",11957,2026-01,"Oliver Laxe",,
4,tt36491653,2026-01-02,2026-01-02,,"It Was Just an Accident","Yek tasadof-e sadeh",https://www.imdb.com/title/tt36491653/,Movie,7.6,103,2025,"Crime, Drama, Mystery, Thriller",13142,2025-10-15,"Jafar Panahi",,
5,tt14905854,2026-01-02,2026-01-02,,"Hamnet","Hamnet",https://www.imdb.com/title/tt14905854/,Movie,8.1,125,2025,"Biography, Drama, History, Romance",8347,2025-12-05,"Chloé Zhao",,
6,tt13651462,2026-01-02,2026-01-02,,"Lurker","Lurker",https://www.imdb.com/title/tt13651462/,Movie,6.8,100,2025,"Crime, Drama, Music, Thriller",3586,2025-08-22,"Alex Russell",,
7,tt1312221,2026-01-02,2026-01-02,,"Frankenstein","Frankenstein",https://www.imdb.com/title/tt1312221/,Movie,7.5,149,2025,"Drama, Fantasy, Horror, Sci-Fi",214782,2025-11-07,"Guillermo del Toro",,
8,tt8667404,2026-01-02,2026-01-02,,"The Chronology of Water","The Chronology of Water",https://www.imdb.com/title/tt8667404/,Movie,6.5,128,2025,"Biography, Drama, Romance",708,2026-01-09,"Kristen Stewart",,
9,tt30988739,2026-01-02,2026-01-02,,"Black Bag","Black Bag",https://www.imdb.com/title/tt30988739/,Movie,6.7,93,2025,"Drama, Mystery, Romance, Thriller",83766,2025-03-14,"Steven Soderbergh",,
10,tt19403516,2026-01-02,2026-01-02,,"Hallow Road","Hallow Road",https://www.imdb.com/title/tt19403516/,Movie,6.0,80,2025,"Drama, Horror, Thriller",8372,2025-05-16,"Babak Anvari",,
